,result,documentation,terms_of_use,time_last_update_unix,time_last_update_utc,time_next_update_unix,time_next_update_utc,base_code,conversion_rates
CNY,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,7.2449
COP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,3853.8935
CRC,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,507.3846
CUP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,24.0
CVE,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,103.1988
CZK,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,23.5041
DJF,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,177.721
DKK,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,6.9811
DOP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,58.4775
DZD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,134.3321
EGP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,47.8527
ERN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,15.0
ETB,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,57.3869
EUR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,0.9359
FJD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,2.2596
FKP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,0.7993
FOK,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,6.9811
GBP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,0.7993
GEL,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,2.6846
GGP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,0.7993
GHS,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,13.6827
GIP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,0.7993
GMD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,66.7187
GNF,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,8575.5165
GTQ,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,7.7718
GYD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,209.1428
HKD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,7.8223
HNL,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,24.7215
HRK,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,7.0517
HTG,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,132.5152
HUF,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,365.3552
IDR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,16262.8697
ILS,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,3.7406
IMP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,0.7993
INR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,83.489
IQD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,1308.742
